Aruba,105845,0.000015281264496352766
Afghanistan,37172386,0.005366725517752568
Angola,30809762,0.004448128132568176
Anguilla,15094,0.0000021791809372946163
Albania,2866376,0.00041383012709147955
Andorra,77006,0.00001111766312821712
United Arab Emirates,9630959,0.001390459935117664
Argentina,44494502,0.006423848587042346
Armenia,2951776,0.00042615966545407136
American Samoa,55465,0.000008007703106336682
Antarctica,1106,1.5967762797454918e-7
Antigua and Barbuda,96286,0.000013901193568858448
Australia,24982688,0.003606850235323901
Austria,8840521,0.0012763412507587608
Azerbaijan,9939800,0.0014350485411766944
Burundi,11175378,0.0016134338614457156
Belgium,11433256,0.0016506647360811776
Benin,11485048,0.0016581421535387343
Burkina Faso,19751535,0.002851607827898994
Bangladesh,161356039,0.023295614436608363
Bulgaria,7025037,0.001014232590048321
Bahrain,1569439,0.00022658616344552307
Bosnia and Herzegovina,3323929,0.00047988887728373896
Belarus,9483499,0.0013691705472142941
Belize,383071,0.000055305487003470645
Bermuda,63973,0.000009236036975059525
Bolivia,11353142,0.001639098358605994
Brazil,209469333,0.030241922447424015
Barbados,286641,0.00004138350358069869
Brunei,428962,0.00006193095357253036
Bhutan,754394,0.0001089148684251646
Botswana,2254126,0.00032543715446271127
Central African Republic,4666377,0.0006737034453842613
Canada,37057765,0.005350177227159376
Switzerland,8513227,0.0012290885115451061
Chile,18729160,0.0027040034744627555
China,1392730000,0.2010739808399583
Ivory Coast,25069229,0.00361934450440396
Cameroon,25216237,0.0036405686352658792
Cook Islands,17379,0.0000025090754941859768
Colombia,49648685,0.007167978528802514
Comoros,832322,0.00012016564436802236
Cape Verde,543767,0.00007850580897905668
Costa Rica,4999441,0.0007217892224943112
Cuba,11338138,0.0016369321713273952
Cayman Islands,64174,0.000009265056146147124
Cyprus,1189265,0.00017169892787807618
Czech Republic,10629928,0.001534685071049045
Germany,82905782,0.011969438169199889
Djibouti,958920,0.00013844310218567334
Dominica,71625,0.00001034078671218543
Denmark,5793636,0.0008364503199167769
Dominican Republic,10627165,0.0015342861657270796
Algeria,42228429,0.0060966865965747415
Ecuador,17084357,0.0024665367099732235
Egypt,98423595,0.014209806678415642
Eritrea,6213972,0.0008971359034902942
Spain,46796540,0.006756202987898834
Estonia,1321977,0.00019085908824313799
Ethiopia,109224559,0.01576918489845045
Finland,5515525,0.0007962983264324823
Falkland Islands,2840,4.100221188496561e-7
France,66977107,0.009669751875549344
Faroe Islands,48497,0.00000700170517529992
Gabon,2119275,0.0003059681781426426
United Kingdom,66460344,0.009595144741675011
Georgia,3726549,0.0005380167313299533
Ghana,29767108,0.0042975960190797715
Gibraltar,33718,0.000004868002043441094
Guinea,12414318,0.001792304567054023
Gambia,2280102,0.0003291874131103305
Equatorial Guinea,1308974,0.0001889817933095457
Greece,10731726,0.0015493820540260369
Grenada,111454,0.000016091058181080836
Greenland,56025,0.00000808855253822253
Guatemala,17247807,0.0024901346379049053
Guam,165768,0.000023932586830095
Guyana,779004,0.0001124679122085766
Honduras,9587522,0.0013841887623090468
Croatia,4087843,0.000590178186050963
Haiti,11123176,0.0016058972506540995
Hungary,9775564,0.0014113371352924013
Indonesia,267663435,0.03864363688636521
India,1352617328,0.1952827545138452
Ireland,4867309,0.0007027127990408454
Iran,81800269,0.011809830851356283
Iraq,38433600,0.005548812009514135
Iceland,352721,0.00005092373654322872
Israel,8882800,0.001282445238492157
Italy,60421760,0.008723330302755423
Jamaica,2934855,0.00042371671324524914
Jordan,9956011,0.0014373889878558043
Japan,126529100,0.018267510450049304
Kazakhstan,18272430,0.0026380635440605713
Kenya,51393010,0.007419813681078017
Kyrgyzstan,6322800,0.0009128478355854246
Cambodia,16249798,0.0023460481009996144
Kiribati,115847,0.00001672529309942821
Saint Kitts and Nevis,52441,0.000007571116174153105
South Korea,51606633,0.007450655284984713
Kuwait,4137309,0.0005973197896182225
Laos,7061507,0.001019497909299887
Lebanon,6848925,0.000988806598712106
Liberia,4818977,0.0006957349155731548
Saint Lucia,181889,0.00002626003985050884
Liechtenstein,37910,0.000005473217790700868
Sri Lanka,21670000,0.003128584266011285
Lesotho,2108132,0.00030435941882209975
Lithuania,2801543,0.00040446992848888107
Luxembourg,607950,0.0000877721644910734
Latvia,1927174,0.00027823379115210115
Morocco,36029138,0.005201670247565726
Monaco,38682,0.000005584674507514929
Moldova,2706049,0.0003906830791165469
Madagascar,26262368,0.0037916027371019036
Maldives,515696,0.00007445308683179306
Mexico,126190788,0.018218666998263296
Marshall Islands,58413,0.000008433317615621467
Mali,19077690,0.00275432213963271
Malta,484630,0.00006996796459792565
Myanmar,53708395,0.007754095041519112
Montenegro,631219,0.00009113160275991588
Mongolia,3170208,0.0004576955638570883
Northern Mariana Islands,56882,0.000008212281043804979
Mozambique,29495962,0.004258449590404557
Mauritania,4403319,0.0006357247135038553
Montserrat,5900,8.518065145116096e-7
Mauritius,1265303,0.00018267683698831917
Malawi,18143315,0.0026194226969213905
Malaysia,31528585,0.004551907473954749
Namibia,2448255,0.00035346433189586794
New Caledonia,284060,0.00004101087432409624
Niger,22442948,0.00324017784936361
Norfolk Island,2169,3.1314717457214936e-7
Nigeria,195874740,0.028279216874621652
Nicaragua,6465513,0.0009334518801795763
Niue,1624,2.3446335246895832e-7
Netherlands,17231624,0.00248779823369739
Norway,5311916,0.0007669024836166866
Nepal,28087871,0.0040551578807731725
Nauru,12704,0.000001834127111924659
New Zealand,4841000,0.0006989144638560511
Oman,4829483,0.0006972517086649274
Pakistan,212215030,0.03063832966631808
Panama,4176873,0.0006030318019809576
